    n    bst height    avl height
-----  ------------  ------------
 1000            21            12
 2000            25            13
 3000            25            14
 4000            27            14
 5000            27            15
 6000            28            15
 7000            30            15
 8000            29            15
 9000            30            16
10000            30            16
11000            31            16
12000            31            16
13000            32            16
14000            31            16
15000            32            17
16000            33            17
17000            33            17
18000            33            17
19000            33            17
20000            33            17
