    n    bst height    avl height
-----  ------------  ------------
 1000            22            12
 2000            25            13
 3000            26            14
 4000            26            14
 5000            29            14
 6000            29            15
 7000            30            15
 8000            30            15
 9000            30            15
10000            31            16
11000            32            16
12000            32            16
13000            33            16
14000            32            16
15000            33            17
16000            32            17
17000            32            16
18000            32            17
19000            33            17
20000            33            17
