    n       list         bst
-----  ---------  ----------
 1000  0.0165755  0.00060814
 2000  0.0664906  0.00140944
 3000  0.151464   0.00212638
 4000  0.271473   0.00291433
 5000  0.427183   0.0037666
 6000  0.61349    0.00461372
 7000  0.834627   0.00544395
 8000  1.09608    0.00662501
 9000  1.43595    0.00758664
10000  1.7758     0.0084806
11000  2.07783    0.00941292
12000  2.46783    0.010501
13000  2.89068    0.0114784
14000  3.3595     0.0127402
15000  3.85556    0.013593
16000  4.40123    0.0146439
17000  4.9902     0.0156689
18000  5.69062    0.0165738
19000  6.23756    0.0174946
20000  6.9137     0.0182992
