    n        list         bst
-----  ----------  ----------
 1000  0.00020827  0.00147508
 2000  0.00039283  0.00319527
 3000  0.0005865   0.00542775
 4000  0.0007974   0.00730433
 5000  0.00095745  0.00943933
 6000  0.00119982  0.011498
 7000  0.00138103  0.0139993
 8000  0.00156909  0.0160909
 9000  0.00190823  0.018621
10000  0.00214348  0.0205195
11000  0.0022438   0.0227411
12000  0.00245715  0.0263202
13000  0.00262623  0.0281007
14000  0.00292704  0.0302956
15000  0.00326685  0.0329517
16000  0.00378615  0.0351785
17000  0.00414534  0.0378815
18000  0.00442777  0.0407137
19000  0.0046916   0.0427107
20000  0.0051042   0.0454551
