    n       list         bst
-----  ---------  ----------
 1000  0.0155837  0.0016048
 2000  0.0494996  0.00355085
 3000  0.113043   0.0077708
 4000  0.202647   0.00980305
 5000  0.321255   0.0121178
 6000  0.45041    0.0142626
 7000  0.61065    0.0188144
 8000  0.815084   0.0189127
 9000  1.05386    0.0236294
10000  1.29752    0.0257046
11000  1.51578    0.028136
12000  1.79293    0.0327759
13000  2.11281    0.0352361
14000  2.44014    0.0377203
15000  2.8076     0.0405454
16000  3.19191    0.0435805
17000  3.60455    0.0473979
18000  4.07338    0.0500674
19000  4.52634    0.0522572
20000  5.01885    0.055293
